,Team,VORP_projection
0,Atlanta Hawks,[16.36895408]
1,Boston Celtics,[13.89139193]
2,Brooklyn Nets,[17.48598583]
3,Charlotte Hornets,[9.24345006]
4,Chicago Bulls,[16.88598284]
5,Cleveland Cavaliers,[8.78150844]
6,Dallas Mavericks,13.192963218120857
7,Denver Nuggets,[16.17295182]
8,Detroit Pistons,[7.01730239]
9,Golden State Warriors,[11.94316691]
10,Houston Rockets,[3.88307584]
11,Indiana Pacers,[15.02947081]
12,Los Angeles Clippers,[12.98194434]
13,Los Angeles Lakers,[13.12401724]
14,Memphis Grizzlies,[8.11955319]
15,Miami Heat,11.294288974251264
16,Milwaukee Bucks,[12.46551241]
17,Minnesota Timberwolves,[9.98974661]
18,New Orleans Pelicans,[17.48598583]
19,New York Knicks,[15.63984246]
20,Oklahoma City Thunder,[7.40363252]
21,Orlando Magic,[16.22675045]
22,Philadelphia Sixers,13.97993675736454
23,Phoenix Suns,[13.38154885]
24,Portland Trail Blazers,[11.84942814]
25,Sacramento Kings,[7.54541117]
26,San Antonio Spurs,[4.74117423]
27,Toronto Raptors,[9.79474251]
28,Utah Jazz,[17.01217793]
29,Washington Wizards,[8.3377559]
